id,name,ascii,alt_name,lat,long,feat_class,feat_code,country,cc2,admin1,admin2,admin3,admin4,population,elevation,dem,tz,modified_at
5894171,Barrie,Barrie,"Bari,Baris,Barri,Barrie,Berri,YLK,ba li,baeli,bari,bary,bry,Бари,Барри,Беррі,باري,باری,باری، اونٹاریو,بری,バリー,巴里,배리",44.40011,-79.66634,P,PPL,CA,,8,,,,182041,,269,America/Toronto,22/09/2013
5895424,Bay Roberts,Bay Roberts,,47.59989,-53.26478,P,PPL,CA,,5,,,,13737,,9,America/St_Johns,22/01/2006
5895650,Beaconsfield,Beaconsfield,,45.43341,-73.86586,P,PPL,CA,,10,,,,19194,,33,America/Montreal,22/09/2010
5896495,Beauharnois,Beauharnois,,45.31341,-73.8725,P,PPL,CA,,10,16,,,11918,,37,America/Montreal,10/11/2013
5896522,Beaumont,Beaumont,,53.35013,-113.41871,P,PPL,CA,,1,,,,7366,,716,America/Edmonton,11/04/2008
5897209,Bécancour,Becancour,"Bekankur,bkankwr, kbk,bykankwr, kybk,byknkwr,Беканкур,بيكانكور، كيبك,بکانکور، کبک,بیکنکور",46.33336,-72.43241,P,PPL,CA,,10,4,,,11134,,10,America/Montreal,22/09/2010
5897884,Belleville,Belleville,"Bel'vil',Belvil,Bilivailas,belbil,berubiru,bylfy, awntaryw,Белвил,Бельвиль,بيلفي، أونتاريو,بیلول، اونٹاریو,بیلی ولے,ベルビル,벨빌",44.16682,-77.38277,P,PPL,CA,,8,,,,49454,,93,America/Toronto,25/04/2013
5898070,Bells Corners,Bells Corners,"Bells Corners,Ottawa Bells Corners",45.31588,-75.83012,P,PPL,CA,,8,,,,9977,,96,America/Toronto,18/03/2010
5898138,Beloeil,Beloeil,,45.56678,-73.19915,P,PPL,CA,,10,16,,,18927,,4,America/Montreal,22/09/2010
5903510,Blainville,Blainville,,45.66678,-73.88249,P,PPL,CA,,10,15,,,46493,,73,America/Montreal,22/09/2010
5904501,Bluewater,Bluewater,,43.46679,-81.59977,P,PPL,CA,,8,,,,7044,,249,America/Toronto,05/05/2013
5905132,Boisbriand,Boisbriand,,45.61678,-73.83249,P,PPL,CA,,10,15,,,26483,,30,America/Montreal,22/09/2010
5905152,Bois-des-Filion,Bois-des-Filion,,45.66678,-73.74918,P,PPL,CA,,10,,,,8383,,17,America/Montreal,22/09/2010
5905616,Bonnyville,Bonnyville,"Bonivil,YBY,Бонивил",54.26684,-110.73505,P,PPL,CA,,1,,,,6003,,555,America/Edmonton,11/04/2008
5906267,Boucherville,Boucherville,"Bushervil,Bushervil',bushavu~iru,bwshyfyl, kybk,Бушервил,Бушервиль,باؤچرولے,بوشيفيل، كيبك,ブーシャーヴィル",45.59104,-73.43605,P,PPL,CA,,10,16,,,39062,,16,America/Montreal,22/09/2010
5907092,Bracebridge,Bracebridge,,45.03341,-79.31633,P,PPL,CA,,8,,,,8238,,240,America/Toronto,22/01/2006
5907180,Bradford West Gwillimbury,Bradford West Gwillimbury,,44.11681,-79.61633,P,PPL,CA,,8,,,,18811,,264,America/Toronto,11/04/2008
