id	name	latitude	longitude	country	prov_state
6141439	Sault Ste. Marie	46.51677	-84.33325	CA	ON
6143367	Sechelt	49.47512	-123.75903	CA	BC
6144054	Selkirk	50.1436	-96.88452	CA	MB
6144312	Sept-Îles	50.20011	-66.38208	CA	QC
6145489	Shawinigan	46.56675	-72.74913	CA	QC
6146143	Sherbrooke	45.40008	-71.89908	CA	QC
6146279	Sherwood Park	53.51684	-113.3187	CA	AB
6149374	Slave Lake	55.28344	-114.76896	CA	AB
6149996	Smithers	54.78036	-127.17428	CA	BC
6150174	Smiths Falls	44.90452	-76.02333	CA	ON
6151264	Sooke	48.37463	-123.72762	CA	BC
6151352	Sorel-Tracy	46.03336	-73.11585	CA	QC
6152244	South Huron	43.31679	-81.51647	CA	ON
6154383	Spruce Grove	53.53344	-113.91874	CA	AB
6155033	St. Albert	53.63344	-113.63533	CA	AB
6155721	St. Catharines	43.17126	-79.24267	CA	ON
6156102	Steinbach	49.52579	-96.68451	CA	MB
6156244	Stephenville	48.55001	-58.5818	CA	NL
6156307	Stettler	52.31683	-112.71861	CA	AB
6157977	Stratford	43.36679	-80.94972	CA	ON
6158023	Strathmore	51.05011	-113.38523	CA	AB
6158357	St. Thomas	42.77361	-81.18038	CA	ON
6159232	Summerland	49.59977	-119.66911	CA	BC
6157536	Stony Plain	53.53343	-114.00205	CA	AB
6159244	Summerside	46.39593	-63.78762	CA	PE
6159905	Surrey	49.10635	-122.82509	CA	BC
6160603	Swift Current	50.28337	-107.80135	CA	SK
6160806	Sylvan Lake	52.31681	-114.0853	CA	AB
6160919	Taber	49.78703	-112.14603	CA	AB
6162659	Temiskaming Shores	47.49376	-79.71529	CA	ON
6163012	Terrebonne	45.70004	-73.64732	CA	QC
6164499	The Pas	53.82509	-101.25413	CA	MB
6165406	Thompson	55.7435	-97.85579	CA	MB
6165719	Thorold	43.11682	-79.19958	CA	ON
6162949	Terrace	54.51634	-128.60345	CA	BC
6166142	Thunder Bay	48.38202	-89.25018	CA	ON
6166739	Timmins	48.46686	-81.33312	CA	ON
6167865	Toronto	43.70011	-79.4163	CA	ON
6168326	Trail	49.09983	-117.70223	CA	BC
6169141	Trois-Rivières	46.34515	-72.5477	CA	QC
6169587	Truro	45.36685	-63.26538	CA	NS
6173012	Val-des-Monts	45.6501	-75.66604	CA	QC
6173017	Val-d'Or	48.10018	-77.7828	CA	QC
6173331	Vancouver	49.24966	-123.11934	CA	BC
6173508	Varennes	45.68338	-73.43246	CA	QC
6173570	Vaudreuil-Dorion	45.40008	-74.03251	CA	QC
6173577	Vaughan	43.8361	-79.49827	CA	ON
6173635	Vegreville	53.50015	-112.05182	CA	AB
6173864	Vernon	50.25809	-119.26905	CA	BC
6174041	Victoria	48.43294	-123.3693	CA	BC
6174151	Victoriaville	46.05007	-71.96579	CA	QC
6175059	Wainwright	52.83904	-110.85723	CA	AB
6176421	Wasaga Beach	44.5168	-80.01637	CA	ON
6176823	Waterloo	43.4668	-80.51639	CA	ON
6177869	Welland	42.98342	-79.24958	CA	ON
6178582	West End	49.28333	-123.13333	CA	BC
6179138	Westlock	54.15016	-113.86876	CA	AB
6179226	Westmount	45.48341	-73.59918	CA	QC
6179602	Wetaskiwin	52.96683	-113.36869	CA	AB
6179652	Weyburn	49.66675	-103.85109	CA	SK
6180144	Whistler	50.1164	-122.96946	CA	BC
6180285	Whitecourt	54.15015	-115.68548	CA	AB
6180550	Whitehorse	60.71611	-135.05375	CA	YT
6180961	White Rock	49.01636	-122.8026	CA	BC
6182212	Williams Lake	52.14153	-122.14451	CA	BC
6182959	Windsor	45.56678	-71.99909	CA	QC
6182962	Windsor	42.30008	-83.01654	CA	ON
6183204	Winkler	49.1817	-97.94104	CA	MB
6183235	Winnipeg	49.8844	-97.14704	CA	MB
6184365	Woodstock	43.13339	-80.7497	CA	ON
6185217	Yarmouth	43.83345	-66.11557	CA	NS
6185377	Yellowknife	62.456	-114.35255	CA	NT
6185607	Yorkton	51.2167	-102.46766	CA	SK
6295855	Beauceville	46.21785	-70.77873	CA	QC
6324729	Halifax	44.64533	-63.57239	CA	NS
6324733	St. John's	47.56494	-52.70931	CA	NL
6325494	Québec	46.81228	-71.21454	CA	QC
6325521	Lévis	46.80326	-71.17793	CA	QC
6325529	Montmagny	46.98043	-70.55493	CA	QC
6354895	Rimouski	48.44879	-68.52396	CA	QC
6354897	Rivière-du-Loup	47.82699	-69.54243	CA	QC
6354908	Sydney	46.1351	-60.1831	CA	NS
6534203	L'Ancienne-Lorette	46.79392	-71.35191	CA	QC
6545023	Edmundston	47.3737	-68.32512	CA	NB
6639619	Sainte Catherine de la Jacques Cartier	46.85244	-71.62056	CA	QC
6690232	Baie-Saint-Paul	47.44109	-70.49858	CA	QC
6696258	Campbellton	48.00751	-66.67272	CA	NB
6696259	Bathurst	47.61814	-65.65112	CA	NB
6942553	Paris	43.2	-80.38333	CA	ON
6696260	Matane	48.82857	-67.52197	CA	QC
6943488	Amqui	48.46382	-67.43134	CA	QC
6943811	Chandler	48.34935	-64.67926	CA	QC
6943827	Thetford-Mines	46.09371	-71.30539	CA	QC
6944113	Mont-Joli	48.58388	-68.19214	CA	QC
6945986	La Malbaie	47.654	-70.15268	CA	QC
6945989	Sainte-Marie	46.43401	-71.01168	CA	QC
6945991	Plessisville	46.21856	-71.76201	CA	QC
7280414	Cole Harbour	44.67244	-63.47506	CA	NS
7281931	Okanagan	50.36386	-119.34997	CA	BC
7281936	West Kelowna	49.8625	-119.58333	CA	BC
7302647	Bellechasse Regional County Municipality	46.66667	-70.71667	CA	QC
7303783	Sydney Mines	46.23669	-60.21767	CA	NS
7303786	Jonquière	48.41648	-71.24884	CA	QC
7535690	Donnacona	46.68042	-71.7239	CA	QC
7535681	Saint-Augustin-de-Desmaures	46.74064	-71.45131	CA	QC
7602078	Ladner	49.08938	-123.08241	CA	BC
7669012	Walnut Grove	49.16473	-122.64042	CA	BC
7669018	Aldergrove	49.05801	-122.47087	CA	BC
8285452	Ancaster	43.21806	-79.98716	CA	ON
8354586	Saint-Henri	46.69314	-71.06927	CA	QC
8354587	Saint-Lambert-de-Lauzon	46.58624	-71.20892	CA	QC
8354533	Shannon	46.88026	-71.51464	CA	QC
8379100	Pont-Rouge	46.75468	-71.69566	CA	QC
8379101	Princeville	46.17163	-71.87462	CA	QC
8533869	West Vancouver	49.36672	-123.16652	CA	BC
8558534	Willowdale	43.76672	-79.39909	CA	ON
4046255	Bay Minette	30.88296	-87.77305	US	AL
4046274	Edna	28.97859	-96.64609	US	TX
4046332	Henderson	32.15322	-94.79938	US	TX
4046704	Fort Hunt	38.73289	-77.05803	US	VA
4047906	Trinity	28.18085	-82.68177	US	FL
4047914	Villas	26.55035	-81.8687	US	FL
4048023	Bessemer	33.40178	-86.95444	US	AL
4048662	Paducah	37.08339	-88.60005	US	KY
4048888	Red Chute	32.55598	-93.61323	US	LA
4049032	Jessup	39.14927	-76.77525	US	MD
4049979	Birmingham	33.52066	-86.80249	US	AL
4050006	Delhi Hills	39.09284	-84.61272	US	OH
4050118	Turpin Hills	39.11006	-84.37994	US	OH
4050356	Lugoff	34.22737	-80.68925	US	SC
4050880	Buda	30.08521	-97.84028	US	TX
4051059	Boaz	34.20065	-86.16637	US	AL
4051714	Brewton	31.10518	-87.07219	US	AL
4051894	Brook Highland	33.43566	-86.67388	US	AL
4052964	Cahaba Heights	33.464	-86.73193	US	AL
4053050	Calera	33.1029	-86.7536	US	AL
4054378	Center Point	33.64566	-86.6836	US	AL
4054852	Chelsea	33.34011	-86.63026	US	AL
4054996	Chickasaw	30.7638	-88.07472	US	AL
4057835	Cullman	34.17482	-86.84361	US	AL
4058061	Daleville	31.31017	-85.71299	US	AL
4058198	Danville	34.41454	-87.08751	US	AL
4058219	Daphne	30.60353	-87.9036	US	AL
4055577	Clanton	32.83874	-86.62943	US	AL
4055650	Clay	33.7026	-86.59971	US	AL
4058553	Decatur	34.60593	-86.98334	US	AL
4055045	Childersburg	33.27817	-86.35498	US	AL
4059870	East Florence	34.80953	-87.64947	US	AL
4060954	Eufaula	31.89127	-85.14549	US	AL
4058662	Demopolis	32.51764	-87.8364	US	AL
4059102	Dothan	31.22323	-85.39049	US	AL
4060791	Enterprise	31.31517	-85.85522	US	AL
4061206	Fairfield	33.48594	-86.91194	US	AL
4061234	Fairhope	30.52297	-87.90333	US	AL
4062644	Foley	30.40659	-87.6836	US	AL
4062774	Forestdale	33.57011	-86.89638	US	AL
4062861	Fort Payne	34.44425	-85.71969	US	AL
4063570	Fultondale	33.60483	-86.79388	US	AL
4062577	Florence	34.79981	-87.67725	US	AL
4063619	Gadsden	34.01426	-86.00664	US	AL
4063765	Gardendale	33.6601	-86.81277	US	AL
4064310	Glencoe	33.95704	-85.93247	US	AL
4065029	Grayson Valley	33.64816	-86.63943	US	AL
4065302	Greenville	31.8296	-86.61775	US	AL
4065552	Gulf Shores	30.24604	-87.70082	US	AL
4065649	Guntersville	34.35815	-86.2947	US	AL
4065965	Hamilton	34.14232	-87.98864	US	AL
4066449	Hartselle	34.44343	-86.93528	US	AL
4066463	Harvest	34.85564	-86.75083	US	AL
4066811	Helena	33.29622	-86.8436	US	AL
4067927	Homewood	33.47177	-86.80082	US	AL
4067994	Hoover	33.40539	-86.81138	US	AL
4068446	Hueytown	33.45122	-86.99666	US	AL
4068590	Huntsville	34.73037	-86.5861	US	AL
4069243	Irondale	33.53816	-86.70721	US	AL
4069458	Jackson	31.50905	-87.89444	US	AL
